iter	Passed	Remaining
0	135	135686
1	136	68122
2	137	45583
3	137	34311
4	138	27544
5	139	23033
6	139	19809
7	140	17395
8	141	15530
9	141	14031
10	142	12800
11	143	11774
12	143	10905
13	144	10161
14	144	9521
15	145	8957
16	146	8458
17	146	8015
18	147	7617
19	148	7259
20	148	6933
21	149	6637
22	149	6367
23	150	6119
24	151	5889
25	151	5677
26	152	5480
27	152	5296
28	153	5127
29	153	4971
30	154	4823
31	154	4684
32	155	4556
33	156	4435
34	156	4322
35	157	4214
36	158	4113
37	158	4014
38	159	3922
39	159	3833
40	160	3748
41	160	3669
42	161	3597
43	162	3527
44	162	3457
45	163	3390
46	164	3325
47	164	3263
48	165	3204
49	165	3146
50	166	3092
51	166	3041
52	167	2992
53	168	2944
54	168	2897
55	169	2852
56	169	2808
57	170	2766
58	170	2725
59	171	2688
60	172	2652
61	172	2617
62	173	2581
63	174	2547
64	174	2513
65	175	2480
66	175	2449
67	176	2415
68	176	2385
69	177	2357
70	178	2330
71	178	2304
72	179	2277
73	179	2251
74	180	2227
75	181	2202
76	181	2178
77	182	2154
78	182	2131
79	183	2110
80	184	2089
81	184	2069
82	185	2048
83	186	2028
84	186	2006
85	187	1988
86	187	1966
87	187	1947
88	188	1930
89	189	1914
90	189	1897
91	190	1880
92	191	1863
93	191	1847
94	192	1831
95	192	1816
96	193	1800
97	194	1786
98	194	1772
99	195	1760
100	196	1745
101	196	1730
102	197	1716
103	197	1702
104	198	1689
105	198	1678
106	199	1665
107	200	1653
108	200	1642
109	201	1630
110	202	1618
111	202	1607
112	203	1595
113	203	1584
114	204	1573
115	205	1562
116	205	1551
117	206	1542
118	206	1531
119	207	1521
120	208	1511
121	208	1501
122	208	1489
123	209	1480
124	210	1470
125	210	1461
126	211	1452
127	211	1443
128	212	1434
129	213	1425
130	213	1417
131	214	1408
132	214	1399
133	215	1391
134	216	1384
135	216	1376
136	217	1369
137	217	1361
138	218	1353
139	219	1345
140	219	1337
141	220	1329
142	220	1323
143	221	1316
144	222	1309
145	222	1302
146	223	1295
147	223	1288
148	224	1281
149	225	1275
150	225	1268
151	226	1262
152	226	1256
153	227	1249
154	228	1244
155	228	1237
156	229	1231
157	229	1225
158	230	1219
159	231	1213
160	231	1207
161	232	1201
162	232	1196
163	233	1191
164	234	1185
165	234	1180
166	235	1175
167	236	1170
168	236	1164
169	237	1158
170	238	1153
171	238	1149
172	239	1144
173	240	1139
174	240	1134
175	241	1129
176	241	1123
177	242	1118
178	242	1114
179	243	1109
180	243	1103
181	244	1099
182	245	1094
183	245	1089
184	246	1084
185	246	1080
186	247	1075
187	248	1071
188	248	1066
189	249	1062
190	249	1058
191	250	1054
192	251	1050
193	251	1045
194	252	1042
195	253	1037
196	253	1033
197	254	1029
198	254	1025
199	255	1021
200	256	1017
201	256	1013
202	257	1010
203	257	1006
204	258	1002
205	259	998
206	259	994
207	260	991
208	260	987
209	261	983
210	262	980
211	262	976
212	263	972
213	263	968
214	264	965
215	264	961
216	265	958
217	266	955
218	266	951
219	267	948
220	268	944
221	268	941
222	269	937
223	269	934
224	270	931
225	271	928
226	271	925
227	272	922
228	272	918
229	273	915
230	274	912
231	274	909
232	275	906
233	276	903
234	276	900
235	277	898
236	278	895
237	278	892
238	279	889
239	280	886
240	280	883
241	281	880
242	281	877
243	282	875
244	283	872
245	283	869
246	284	866
247	284	864
248	285	861
249	286	858
250	286	855
251	287	852
252	287	850
253	288	847
254	289	845
255	289	842
256	290	839
257	291	837
258	291	834
259	292	831
260	292	829
261	293	827
262	294	824
263	295	822
264	295	820
265	296	818
266	297	815
267	297	813
268	298	811
269	299	808
270	299	806
271	300	804
272	301	801
273	301	799
274	302	796
275	302	793
276	303	791
277	304	789
278	304	787
279	305	785
280	306	783
281	306	780
282	307	778
283	307	776
284	308	773
285	309	771
286	309	769
287	310	767
288	311	765
289	311	763
290	312	761
291	312	758
292	313	756
293	314	754
294	314	752
295	315	750
296	316	748
297	316	746
298	317	744
299	317	741
300	318	739
301	319	737
302	319	735
303	320	733
304	321	731
305	321	729
306	322	727
307	322	725
308	323	723
309	324	721
310	324	719
311	325	717
312	326	716
313	326	714
314	327	712
315	328	710
316	328	708
317	329	706
318	329	704
319	330	702
320	330	700
321	331	698
322	332	696
323	333	694
324	333	693
325	334	691
326	334	689
327	335	687
328	335	685
329	336	683
330	337	681
331	337	680
332	338	678
333	339	676
334	339	674
335	340	672
336	340	670
337	341	668
338	341	666
339	342	665
340	343	663
341	344	661
342	344	660
343	345	658
344	345	656
345	346	654
346	346	652
347	347	651
348	348	649
349	348	648
350	349	646
351	350	644
352	350	642
353	351	640
354	351	639
355	352	637
356	353	636
357	353	634
358	354	632
359	355	631
360	355	629
361	356	628
362	356	626
363	357	624
364	358	622
365	358	621
366	359	620
367	360	618
368	360	616
369	361	615
370	361	613
371	362	611
372	362	610
373	363	608
374	364	607
375	364	605
376	365	604
377	366	602
378	366	600
379	367	599
380	367	597
381	368	596
382	369	594
383	369	593
384	370	591
385	371	590
386	371	588
387	372	587
388	372	585
389	373	583
390	373	582
391	374	581
392	375	579
393	376	578
