iter	Passed	Remaining
0	140	140384
1	141	70473
2	141	47157
3	142	35495
4	143	28512
5	143	23839
6	144	20506
7	145	18001
8	145	16050
9	146	14483
10	146	13202
11	147	12135
12	147	11229
13	148	10453
14	148	9780
15	149	9200
16	150	8694
17	150	8235
18	151	7829
19	152	7457
20	152	7119
21	153	6814
22	153	6536
23	154	6280
24	155	6045
25	155	5832
26	156	5634
27	156	5448
28	157	5274
29	158	5112
30	158	4959
31	159	4817
32	159	4684
33	160	4558
34	160	4437
35	161	4324
36	162	4221
37	162	4123
38	163	4028
39	164	3939
40	164	3853
41	165	3771
42	165	3693
43	166	3617
44	167	3544
45	167	3477
46	168	3414
47	169	3355
48	169	3296
49	170	3240
50	171	3184
51	171	3131
52	172	3080
53	173	3031
54	173	2982
55	174	2936
56	174	2892
57	175	2851
58	176	2809
59	176	2769
60	177	2729
61	177	2691
62	178	2654
63	178	2617
64	179	2583
65	180	2550
66	180	2518
67	181	2488
68	182	2458
69	182	2428
70	183	2399
71	183	2370
72	184	2342
73	185	2315
74	185	2289
75	186	2264
76	186	2239
77	187	2217
78	188	2193
79	188	2170
80	189	2147
81	189	2125
82	190	2101
83	190	2079
84	191	2059
85	191	2038
86	192	2018
87	192	1999
88	193	1982
89	194	1963
90	194	1945
91	195	1927
92	195	1910
93	196	1893
94	197	1877
95	197	1860
96	198	1844
97	198	1829
98	199	1814
99	200	1800
100	200	1785
101	201	1771
102	201	1756
103	202	1742
104	202	1728
105	203	1715
106	203	1701
107	204	1688
108	205	1675
109	205	1663
110	206	1652
111	206	1640
112	207	1628
113	208	1616
114	208	1605
115	209	1593
116	209	1581
117	210	1570
118	210	1559
119	211	1549
120	211	1538
121	212	1528
122	212	1518
123	213	1508
124	214	1498
125	214	1489
126	215	1478
127	215	1469
128	216	1460
129	216	1450
130	217	1441
131	217	1432
132	218	1424
133	219	1416
134	219	1408
135	220	1400
136	220	1392
137	221	1383
138	222	1375
139	222	1367
140	223	1360
141	223	1351
142	224	1344
143	225	1338
144	225	1330
145	226	1323
146	226	1316
147	227	1308
148	227	1301
149	228	1294
150	229	1287
151	229	1280
152	230	1273
153	230	1267
154	231	1261
155	232	1255
156	232	1248
157	233	1242
158	233	1236
159	234	1229
160	234	1222
161	235	1216
162	235	1210
163	236	1204
164	236	1198
165	237	1193
166	238	1188
167	238	1182
168	239	1176
169	239	1171
170	240	1165
171	241	1160
172	241	1155
173	242	1149
174	242	1144
175	243	1139
176	244	1134
177	244	1129
178	245	1124
179	245	1119
180	246	1114
181	246	1109
182	247	1104
183	248	1100
184	248	1095
185	249	1090
186	250	1087
187	250	1082
188	251	1078
189	251	1073
190	252	1069
191	253	1065
192	253	1060
193	254	1056
194	254	1052
195	255	1047
196	256	1044
197	256	1040
198	257	1037
199	258	1032
200	258	1028
201	259	1024
202	259	1020
203	260	1016
204	261	1012
205	261	1009
206	262	1005
207	263	1002
208	263	998
209	264	994
210	264	990
211	265	986
212	265	982
213	266	979
214	267	975
215	267	971
216	268	968
217	268	964
218	269	960
219	270	957
220	270	953
221	271	950
222	271	946
223	272	943
224	272	939
225	273	936
226	274	933
227	274	930
228	275	927
229	276	924
230	276	921
231	277	918
232	277	914
233	278	911
234	279	908
235	279	905
236	280	901
237	280	899
238	281	896
239	282	893
240	282	890
241	283	887
242	283	884
243	284	881
244	284	878
245	285	875
246	286	872
247	286	869
248	287	866
249	287	863
250	288	860
251	289	857
252	289	854
253	290	851
254	290	849
255	291	846
256	291	843
257	292	840
258	292	838
259	293	836
260	294	833
261	294	830
262	295	828
263	296	825
264	296	822
265	297	819
266	297	817
267	298	814
268	298	811
269	299	809
270	300	807
271	300	804
272	301	802
273	301	799
274	302	797
275	302	794
276	303	792
277	303	789
278	304	786
